Hospital name,Phone number,Street address,Suburb,Postcode,State,Local Hospital Network (LHN),Primary Health Network area (PHN),Website,Description,Sector,Beds,Latitude,Longitude,Hospital_ID
Hobsons Bay Endoscopy Centre Sydenham,03 8361 6400,566 Melton Highway,Sydenham,3037,Vic,,,hobsonsbayendoscopy.com.au,,Private,,-37.693365,144.758677,377
Hobsons Bay Endoscopy Centre Werribee,03 9731 8000,179 Princes Highway,Werribee,3030,Vic,,,hobsonsbayendoscopy.com.au,,Private,,-37.890649,144.686494,378
Holbrook Hospital,02 6036 2522,Bowler Street,Holbrook,2644,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-35.723991,147.320276,379
Hollywood Private Hospital,08 9346 6000,Monash Avenue,Nedlands,6009,WA,,,www.hollywoodprivate.com.au,,Private,>500,-31.969693,115.809148,380
Holmesglen Private Hospital,03 9567 9000,490 South Road,Moorabbin,3189,Vic,,,www.holmesglenprivatehospital.com.au,,Private,100-199,-37.935738,145.050581,381
Holy Spirit Northside Private Hospital,07 3326 3000,627 Rode Road,Chermside,4032,Qld,,,hsnph.org.au,,Private,200-500,-27.390688,153.022728,382
Home Hill Hospital,07 4790 5700,Tenth Avenue,Home Hill,4806,Qld,Townsville,Northern Queensland,www.health.qld.gov.au/services/townsville/tville_hhill_hosp.asp,Regional hospital,Public,<50,-19.661764,147.416759,383
Hopewell Hospice,07 5563 2930,88 Allied Drive,Arundel,4214,Qld,,,www.hopewell.org.au,,Private,<50,-27.938981,153.380619,384
Hornsby Ku-ring-gai Hospital,02 9477 9123,36-76 Palmerston Road,Hornsby,2077,NSW,Northern Sydney,Northern Sydney,www.nslhd.health.nsw.gov.au/hospitals/hornsby/,Large metropolitan hospital with an emergency department,Public,200-500,-33.701448,151.112941,385
Hughenden Hospital,07 4741 2800,14 Richmond Hill Drive,Hughenden,4821,Qld,Townsville,Northern Queensland,www.health.qld.gov.au/services/townsville/tville_hugh_hc.asp,Regional hospital,Public,<50,-20.8424,144.1892,386
Hunter New England Mater Mental Health Service,02 4033 5000,Edith Street,Waratah,2298,NSW,Hunter New England,Hunter New England and Central Coast,,Specialist psychiatric hospital,Public,100-199,-32.897873,151.720669,387
Hunter Valley Private Hospital,02 4944 3744,20 Mawson Street,Shortland,2307,NSW,,,www.hvph.com.au,,Private,50-99,-32.883085,151.695054,388
Hunters Hill Private Hospital,02 8876 9300,9 Mount Street,Hunters Hill,2110,NSW,,,www.huntershillprivate.com.au,,Private,<50,-33.835273,151.150172,389
Huon Eldercare,03 6264 7100,3278 Huon Highway,Franklin,7113,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/community_health_centre_-_huon,Regional hospital,Public,<50,-43.080869,147.016382,390
Hurstville Private,02 9579 7777,37 Gloucester Road,Hurstville,2220,NSW,,,www.hurstvilleprivate.com.au,,Private,50-99,-33.962333,151.095989,391
Illawarra Mental Health Services,,,,2500,NSW,Illawarra Shoalhaven,South Eastern NSW,,Metropolitan hospital,Public,<50,-34.42623,150.891252,392
Ingham Hospital,07 4720 3000,2-16 Mcilwraith Street,Ingham,4850,Qld,Townsville,Northern Queensland,www.health.qld.gov.au/services/townsville/tville_ingham_hs.asp,Regional hospital,Public,<50,-18.652293,146.164222,393
Inglewood & District Health Service,03 5431 7000,3 Hospital Street,Inglewood,3517,Vic,Inglewood and District Health Service,Murray,,Regional hospital,Public,<50,-36.572147,143.873755,394
Inglewood Hospital,07 4652 0888,Cunningham Highway,Inglewood,4387,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-inglewood-hs.asp,Regional hospital,Public,<50,-28.417647,151.061856,395
Injune Hospital,07 4626 1188,Fifth Avenue,Injune,4454,Qld,South West (Qld),Western Queensland,www.health.qld.gov.au/services/southwest/swest_injune_hosp.asp,Regional hospital,Public,<50,-25.847096,148.562471,396
Innisfail Hospital,07 4016 1411,87 Rankin Street,Innisfail,4860,Qld,Cairns and Hinterland,Northern Queensland,www.health.qld.gov.au/services/cairns-hinterland/cairns_innis_hosp.asp,Small hospital,Public,<50,-17.518939,146.030049,397
Inverell Hospital,02 6721 9500,41 Swanbrook Road,Inverell,2360,NSW,Hunter New England,Hunter New England and Central Coast,,Small hospital with an emergency department,Public,<50,-29.770728,151.130139,398
Ipswich Day Hospital,07 3282 8800,10 Churchill Street,Ipswich,4305,Qld,,,http://www.curagroup.com.au/ipswich-day-hospital,,Private,<50,-27.6184,152.7608,399
Ipswich Hospital,07 3810 1111,Chelmsford Avenue,Ipswich,4305,Qld,West Moreton,Darling Downs and West Moreton,www.health.qld.gov.au/services/westmoreton/ipswich-hosp.asp,Large metropolitan hospital with an emergency department,Public,200-500,-27.619465,152.759313,400
Ivanhoe Hospital,02 6990 2200,11 Columbus Street,Ivanhoe,2878,NSW,Far West,Western NSW,,Regional hospital with an emergency department,Public,<50,-32.898193,144.298904,401
Jamestown Hospital and Health Service,08 8664 1406,South Terrace,Jamestown,5491,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/jamestownhospital,Small hospital,Public,<50,-33.212265,138.616249,402
Jandowae Hospital,07 4668 4555,13 Dalby Street,Jandowae,4410,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-jandowae-hs.asp,Regional hospital,Public,<50,-26.781016,151.105313,403
Jerilderie Multi Purpose Service,03 5886 1300,33-39 Southey Street,Jerilderie,2716,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-35.356628,145.720596,404
Jessie McPherson Private Hospital,03 9594 2776,246 Clayton Road,Clayton,3168,Vic,,,http://jessiemcpherson.org,,Private,100-199,-37.9201,145.1225,405
John Fawkner Private Hospital,03 9385 2500,275 Moreland Road,Coburg,3058,Vic,,,www.johnfawknerprivatehospital.com.au,,Private,100-199,-37.754369,144.958398,406
John Flynn Private Hospital,07 5598 9000,42 Inland Drive,Tugun,4224,Qld,,,www.johnflynnprivate.com.au/,,Private,200-500,-28.153911,153.488616,407
John Hunter Hospital,02 4921 3000,Lookout Road,New Lambton,2305,NSW,Hunter New England,Hunter New England and Central Coast,,Major hospital with an emergency department,Public,>500,-32.922177,151.692438,408
Jolimont Endoscopy,03 9654 8033,19/201 Wellington Parade Sth,East Melbourne,3002,Vic,,,www.jolimont.com.au,,Private,<50,-37.816762,144.978596,409
Joondalup Health Campus (Private),08 9400 9400,Corner of Grand Boulevard and Shenton Avenue,Joondalup,6027,WA,,,www.joondaluphealthcampus.com.au,,Private,200-500,-31.738788,115.77034,410
Joondalup Health Campus (Public),08 9400 9030,Shenton Avenue,Joondalup,6027,WA,North Metropolitan Health Service (WA),Perth North,www.joondaluphealthcampus.com.au,Large metropolitan hospital with an emergency department,Public,200-500,-31.738788,115.771737,411
Joyce Palmer Health Service,07 4752 5100,Beach Road,Palm Island,4816,Qld,Townsville,Northern Queensland,www.health.qld.gov.au/services/townsville/tville_jpalm_hs.asp,Regional hospital,Public,<50,-18.732733,146.578731,412
Julia Creek Hospital,07 4746 4000,1 Burke Street,Julia Creek,4823,Qld,North West (Qld),Western Queensland,https://www.health.qld.gov.au/services/northwest/nwes_jcreek_hosp,Regional hospital,Public,<50,-20.656096,141.749875,413
Junee Multi Purpose Service,02 6924 8200,67 Broadway Street,Junee,2663,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-34.866914,147.581314,414
Justice Health Services,02 9700 3000,1300 Anzac Parade,Malabar,2036,NSW,Justice Health & Forensic Mental Health,Central and Eastern Sydney,www.justicehealth.nsw.gov.au/,Specialist psychiatric hospital,Public,200-500,-33.96907,151.243206,415
Kahlyn Day Centre,08 8331 0811,40 Briant Road,Magill,5072,SA,,,www.kahlyndaycentre.com.au/,,Private,<50,-34.916913,138.669951,416
Kalamunda Hospital,08 9257 8100,Elizabeth Street,Kalamunda,6076,WA,East Metropolitan Health Service (WA),Perth North,,Metropolitan hospital,Public,<50,-31.966471,116.060267,417
Kalbarri Health Centre,08 9937 0100,Kaiber Street,Kalbarri,6536,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=227,Regional hospital,Public,<50,-27.712843,114.161574,418
Kalgoorlie Hospital,08 9080 5888,Piccadilly Street,Kalgoorlie,6430,WA,WA Country Health Service,Country WA,,Medium regional hospital with an emergency department,Public,100-199,-30.740839,121.470122,419
Kangaroo Island Health Service,08 8553 4200,3 to 7 The Esplanade,Kingscote,5223,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/KangarooIslandHospital,Small hospital,Public,<50,-35.652693,137.641289,420
Kapunda Hospital,08 8566 2007,26 Nash Street,Kapunda,5373,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/Kapundahospital,Small hospital,Public,<50,-34.330289,138.921679,421
Kareena Private Hospital,02 9717 0000,86 Kareena Road,Caringbah,2229,NSW,,,www.kareenaprivate.com.au,,Private,100-199,-34.034986,151.114186,422
Karitane Mothercraft Society,02 9794 2300,Corner of The Horsley Drive and Mitchell Street,Carramar,2163,NSW,South Western Sydney,South Western Sydney,www.karitane.com.au/,Early parenting centre,Public,<50,-33.879777,150.965763,423
Karoonda and District Soldiers' Memorial Hospital,08 8579 1111,13 Stokes Road,Karoonda,5307,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/karoondahospital,Regional hospital,Public,<50,-35.094226,139.889429,424
Karratha Health Campus,08 9144 7777,"62 Balmoral Road, Pegs Creek",Karratha,6714,WA,WA Country Health Service,Country WA,http://www.wacountry.health.wa.gov.au/index.php?id=929,Small hospital with an emergency department,Public,,-20.732208,116.839511,425
Katanning Hospital,08 9821 6222,Clive Street,Katanning,6317,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=88,Small hospital,Public,<50,-33.683032,117.563409,426
Katherine Hospital,08 8973 9211,Gorge Road,Katherine,850,NT,Top End (NT),Northern Territory,https://nt.gov.au/wellbeing/hospitals-health-services/katherine-hospital,Small hospital with an emergency department,Public,50-99,-14.439002,132.272129,427
Kawana Private Hospital,07 5413 9100,14/5 Innovation Parkway,Birtinya,4575,Qld,,,http://www.curagroup.com.au/kawana-private-hospital,,Private,<50,-26.733825,153.122164,428
Kellerberrin Memorial Hospital,08 9045 6222,51-63 Gregory Street,Kellerberrin,6410,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=89,Regional hospital,Public,<50,-31.628902,117.716531,429
Kempsey Hospital,02 6562 6155,119 River Street,Kempsey,2440,NSW,Mid North Coast,North Coast,,Medium regional hospital with an emergency department,Public,50-99,-31.067841,152.820038,430
Kenmore Hospital,02 4827 3303,Taralga Road,Kenmore,2580,NSW,Southern NSW,South Eastern NSW,,Specialist psychiatric hospital,Public,<50,-34.721253,149.751344,431
Kerang District Health,03 5450 9200,13 Burgoyne Street,Kerang,3579,Vic,Kerang District Health,Murray,,Small hospital,Public,<50,-35.724287,143.916563,432
Kiama Hospital,02 4233 1033,Bonaira Street,Kiama,2533,NSW,Illawarra Shoalhaven,South Eastern NSW,www.islhd.health.nsw.gov.au/Kiama_Hospital/default.asp,Regional hospital,Public,<50,-34.682937,150.850514,433
Kilcoy Hospital,07 5422 4411,19 Brown Street,Kilcoy,4515,Qld,Metro North (Qld),Brisbane North,www.health.qld.gov.au/services/metronorth/metronorth_kilcoy_hosp.asp,Regional hospital,Public,<50,-26.941009,152.561495,434
Kimba District Hospital and Aged Care,08 8627 2400,15 Martin Terrace,Kimba,5641,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/kimbahospital,Regional hospital,Public,<50,-33.143552,136.416013,435
King Edward Memorial Hospital for Women,08 9340 2222,374 Bagot Road,Subiaco,6008,WA,North Metropolitan Health Service (WA),Perth North,www.kemh.health.wa.gov.au,Specialist women's hospital with an emergency department,Public,200-500,-31.950093,115.818576,436
King Island Multi Purpose Centre,03 6462 9900,Edward Street,Currie,7256,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/king_island_district_hospital_and_health_centre,Regional hospital,Public,<50,-39.931673,143.855453,437
Kingaroy Hospital,07 4162 9200,166 Youngman Street,Kingaroy,4610,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-kingaroy-hs.asp,Small hospital,Public,<50,-26.532454,151.838307,438
Kingston Centre [Cheltenham],03 9265 1000,400 Warrigal Road,Cheltenham,3192,Vic,Monash Health,South Eastern Melbourne,http://www.monashhealth.org/page/Kingston_Centre,Specialist rehabilitation hospital,Public,100-199,-37.955018,145.078969,439
Kingston Soldiers' Memorial Hospital,08 8767 0222,Corner of Cooke and Young Streets,Kingston SE,5275,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/kingstonhospital,Regional hospital,Public,<50,-36.835501,139.848763,440
Kingsway Day Surgery,02 9717 0700,"Level 1, 533 Kingsway",Miranda,2228,NSW,,,http://www.kingswaydaysurgery.com.au/,,Private,<50,-34.034096,151.103827,441
Kirwan Rehabilitation Unit,07 4799 9800,138 Thuringowa Drive,Kirwan,4817,Qld,Townsville,Northern Queensland,,Specialist psychiatric hospital,Public,<50,-19.303796,146.731627,442
Knox Private Hospital,03 9210 7000,262 Mountain Highway,Wantirna,3152,Vic,,,www.knoxprivatehospital.com.au,,Private,200-500,-37.849645,145.228035,443
Kojonup Hospital,08 9831 2222,Spring Street,Kojonup,6395,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=93,Regional hospital,Public,<50,-33.829481,117.152903,444
Kondinin Districts Health Service,08 9889 1000,130 Graham Street,Kondinin,6367,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=94,Regional hospital,Public,<50,-32.488949,118.265439,445
Kooweerup Regional Health Service,03 5997 9679,215 Rossiter Road,Koo Wee Rup,3981,Vic,Kooweerup Regional Health Service,South Eastern Melbourne,www.kooweeruphospital.net.au,Regional hospital,Public,<50,-38.200653,145.484433,446
Kununoppin Health Service,08 9683 2044,Leake Street,Kununoppin,6489,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=98,Regional hospital,Public,<50,-31.109682,117.922889,447
Kununurra Hospital,08 9166 4222,96 Coolibah Drive,Kununurra,6743,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=100,Small hospital,Public,<50,-15.775404,128.734229,448
Kurri Kurri Hospital,02 4936 3200,432 Lang Street,Kurri Kurri,2327,NSW,Hunter New England,Hunter New England and Central Coast,,Small hospital with an emergency department,Public,50-99,-32.825017,151.463018,449
Kyabram & District Health Service,03 5857 0200,88 Fenaughty Street,Kyabram,3620,Vic,Kyabram and District Health Service,Murray,www.kyhealth.org.au,Small hospital,Public,<50,-36.315539,145.042705,450
Kyneton District Health Service,03 5422 9900,7-25 Caroline Chisholm Drive,Kyneton,3444,Vic,Kyneton District Health Service,Murray,www.kynetonhealth.org.au,Small hospital,Public,<50,-37.254431,144.469742,451
Kyogle Multi Purpose Service,02 6632 1522,199 Summerland Way,Kyogle,2474,NSW,Northern NSW,North Coast,,Regional hospital with an emergency department,Public,<50,-28.627124,153.001742,452
La Trobe Private Hospital,03 9473 8900,Corner Kingsbury Drive & Plenty Road,Bundoora,3083,Vic,,,www.latrobeprivatehospital.com.au,,Private,<50,-37.716679,145.044334,453
Lachlan Health Service - Forbes,02 6850 7100,Lot 1 Elgin Street,Forbes,2871,NSW,Western NSW,Western NSW,,Small hospital with an emergency department,Public,<50,-33.396281,148.013831,454
Lachlan Health Service - Parkes,02 6861 2400,2 Morrissey Way,Parkes,2870,NSW,Western NSW,Western NSW,,Small hospital with an emergency department,Public,<50,-33.151507,148.169757,455
Lady Davidson Private Hospital,02 9488 0111,Bobbin Head Road,North Turramurra,2074,NSW,,,www.ladydavidsonprivatehospital.com.au,,Private,100-199,-33.726718,151.139119,456
Laidley Hospital,07 5466 8100,75 William Street,Laidley,4341,Qld,West Moreton,Darling Downs and West Moreton,www.health.qld.gov.au/services/westmoreton/laidley-hs.asp,Regional hospital,Public,<50,-27.632725,152.400015,457
Lake Cargelligo Multi Purpose Service,02 6898 1200,Uabba Street,Lake Cargelligo,2672,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-33.292027,146.374304,458
Lake Grace Hospital,08 9890 2222,Stubbs Street,Lake Grace,6353,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=102,Regional hospital,Public,<50,-33.102524,118.452658,459
Lake Macquarie Private Hospital,02 4943 3122,3 Sydney Street,Gateshead,2290,NSW,,,www.lakemacquarieprivate.com,,Private,100-199,-32.981232,151.691719,460
Lameroo District Health Service,08 8576 4600,1A Vardon Terrace,Lameroo,5302,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/lameroohealthservice,Regional hospital,Public,<50,-35.328203,140.514643,461
Latrobe Regional Hospital [Traralgon],03 5173 8000,10 Village Avenue,Traralgon,3844,Vic,Latrobe Regional Hospital,Gippsland,www.lrh.com.au,Large regional hospital with an emergency department,Public,200-500,-38.218475,146.471335,462
Launceston General Hospital,03 6777 6777,274-280 Charles Street,Launceston,7250,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/services_files/launceston_general_hospital,Large regional hospital with an emergency department,Public,200-500,-41.446634,147.142059,463
Laura and District Hospital,08 8663 2568,Mill Street,Laura,5480,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/laurahospital,Regional hospital,Public,<50,-33.174925,138.298687,464
Laverton Hospital,08 9088 2600,Beria Road,Laverton,6440,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=103,Regional hospital,Public,<50,-28.626817,122.399861,465
Lawrence Hargrave Private Hospital,02 4267 2811,72 Phillip Street,Thirroul,2515,NSW,,,www.lawrencehargraveprivate.com.au/,,Private,50-99,-34.310173,150.917631,466
